state_abbreviation,party,votes
AK,Democrat,2.0
AK,Republican,64.0
AL,Democrat,1122.0
AL,Republican,2433.0
AR,Democrat,608.0
AR,Republican,1152.0
AZ,Democrat,1159.0
AZ,Republican,1264.0
CA,Democrat,10000.0
CA,Republican,4344.0
CO,Democrat,352.0
CT,Democrat,937.0
CT,Republican,607.0
DE,Democrat,269.0
DE,Republican,197.0
FL,Democrat,4834.0
FL,Republican,6614.0
GA,Democrat,2200.0
GA,Republican,3705.0
HI,Democrat,98.0
HI,Republican,38.0
IA,Democrat,407.0
IA,Republican,542.0
ID,Democrat,69.0
ID,Republican,625.0
IL,Democrat,5774.0
IL,Republican,4022.0
IN,Democrat,1855.0
IN,Republican,3139.0
KS,Democrat,113.0
KS,Republican,210.0
KY,Democrat,1229.0
KY,Republican,656.0
LA,Democrat,854.0
LA,Republican,848.0
MA,Democrat,3482.0
MA,Republican,1785.0
MD,Democrat,2366.0
MD,Republican,1216.0
ME,Democrat,10.0
MI,Democrat,3404.0
MI,Republican,3657.0
MO,Democrat,1800.0
MO,Republican,2649.0
MS,Democrat,636.0
MS,Republican,1149.0
MT,Democrat,344.0
MT,Republican,404.0
NC,Democrat,3128.0
NC,Republican,3222.0
ND,Democrat,1.0
NE,Democrat,97.0
NE,Republican,524.0
NH,Democrat,717.0
NH,Republican,811.0
NJ,Democrat,2549.0
NJ,Republican,1289.0
NM,Democrat,623.0
NM,Republican,277.0
NV,Democrat,35.0
NV,Republican,218.0
NY,Democrat,5280.0
NY,Republican,2524.0
OH,Democrat,3465.0
OH,Republican,5843.0
OK,Democrat,910.0
OK,Republican,1315.0
OR,Democrat,1663.0
OR,Republican,1050.0
PA,Democrat,4760.0
PA,Republican,4467.0
RI,Democrat,346.0
RI,Republican,175.0
SC,Democrat,1067.0
SC,Republican,2143.0
SD,Democrat,154.0
SD,Republican,194.0
TN,Democrat,1062.0
TN,Republican,2425.0
TX,Democrat,4098.0
TX,Republican,7951.0
UT,Democrat,224.0
UT,Republican,515.0
VA,Democrat,2262.0
VA,Republican,2942.0
VT,Democrat,390.0
VT,Republican,171.0
WA,Democrat,76.0
WA,Republican,1484.0
WI,Democrat,2907.0
WI,Republican,3116.0
WV,Democrat,611.0
WV,Republican,546.0
WY,Democrat,1.0
WY,Republican,3.0
